id,date,user,text
1467822272,Mon Apr 06 22:22:45 PDT 2009,ersle,I LOVE @Health4UandPets u guys r the best!! 
1467822273,Mon Apr 06 22:22:45 PDT 2009,becca210,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!
1467822283,Mon Apr 06 22:22:46 PDT 2009,Wingman29,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. "
1467822391,Mon Apr 06 22:22:47 PDT 2009,ajarofalmonds,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!
1467822489,Mon Apr 06 22:22:49 PDT 2009,emmasaur28,"@tommcfly ah, congrats mr fletcher for finally joining twitter "
1467822530,Mon Apr 06 22:22:49 PDT 2009,claaare,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 
1467822531,Mon Apr 06 22:22:49 PDT 2009,Hollywood_Trey,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 
1467822814,Mon Apr 06 22:22:54 PDT 2009,misstoriblack,Just added tweetie to my new iPhone 
1467822924,Mon Apr 06 22:22:55 PDT 2009,ddjuli,@nicolerichie: your picture is very sweet 
1467822964,Mon Apr 06 22:22:56 PDT 2009,lightleaves,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! "
1467823016,Mon Apr 06 22:22:57 PDT 2009,livelaughenjoy,Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0
1467823079,Mon Apr 06 22:22:58 PDT 2009,oOLuciousLisaOo,"is now followinq @DAChesterFrench , you shud do tha same "
1467823216,Mon Apr 06 22:23:00 PDT 2009,anyyankeest,@iJohn kitteh is sleepin on my crotch which proves she likes me more 
1467823363,Mon Apr 06 22:23:02 PDT 2009,missmegs6,@DramaBeats agreed 
1467823594,Mon Apr 06 22:23:05 PDT 2009,ClareStewart,@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 
1467823618,Mon Apr 06 22:23:06 PDT 2009,conniechiwa23,happy to spend time with the family. 
1467823824,Mon Apr 06 22:23:09 PDT 2009,AngryBadgerGirl,@wisdomous you're welcome. glad you enjoyed it. 
1467823826,Mon Apr 06 22:23:09 PDT 2009,roxy_barbosa,@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?
1467823919,Mon Apr 06 22:23:10 PDT 2009,loveshine,YAY! found a new cuddle buddy 
1467824221,Mon Apr 06 22:23:16 PDT 2009,JustZGirl,Going to go and read new moon for the 3rd time  I cant get enough of twilight series 
1467824298,Mon Apr 06 22:23:17 PDT 2009,zubatnpsyduck,today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!
1467824422,Mon Apr 06 22:23:19 PDT 2009,deeper2k,@stevecla it is a wallpaper with Red Square I was asking for 
1467824454,Mon Apr 06 22:23:20 PDT 2009,vmdavinci,@r_keith_hill Thanks for your response. Ihad already find this answer 
1467824600,Mon Apr 06 22:23:21 PDT 2009,Yosid,#Devunity Wallpaper  Check this out !   --&gt;    http://twitpic.com/2y2e2
1467824606,Mon Apr 06 22:23:22 PDT 2009,SeanDB1,"Morning Tweetland, a long day ahead! Hope everyone has a great day  "
1467824647,Mon Apr 06 22:23:22 PDT 2009,BOSSAJUSTii,   uploading pictures on friendster 
1467824699,Mon Apr 06 22:23:23 PDT 2009,laurakim123,@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p
1467824794,Mon Apr 06 22:23:25 PDT 2009,tylerjamesberry,noodlebox with amanda tonight 
1467824856,Mon Apr 06 22:23:26 PDT 2009,KrystalHolmgren,loving life... and loving you 
1467824877,Mon Apr 06 22:23:26 PDT 2009,danlopez2012,@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] 
1467824911,Mon Apr 06 22:23:27 PDT 2009,celiacbabe,loves chocolate milk  and that is GF YEAH..
1467825038,Mon Apr 06 22:23:29 PDT 2009,sammichfelge,"@little__fish guess where i live. the other side of the earth  east mesa, losiento"
1467825142,Mon Apr 06 22:23:31 PDT 2009,softwebchicago,"Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving "
1467825434,Mon Apr 06 22:23:35 PDT 2009,atsung,had a good tech meeting at clubZone - dinner was sushi 
1467825491,Mon Apr 06 22:23:36 PDT 2009,Scyranth,@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! 
1467825594,Mon Apr 06 22:23:38 PDT 2009,emmasaur28,eating ice-cream with chocolate topping 
1467825631,Mon Apr 06 22:23:38 PDT 2009,Rezdamc,@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!
1467825712,Mon Apr 06 22:23:42 PDT 2009,Andrael,@LaurUy West.  Mostly San Jose and San Francisco.
1467825726,Mon Apr 06 22:23:40 PDT 2009,Eric_John,"Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. "
1467825771,Mon Apr 06 22:23:41 PDT 2009,necrotelicom,@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!
1467825781,Mon Apr 06 22:23:41 PDT 2009,heather_lovesyo,shenagians!  my team is awesome&lt;3
1467825832,Mon Apr 06 22:23:42 PDT 2009,kristycasey,I am doing a study of Think &amp; Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! 
1467826078,Mon Apr 06 22:23:46 PDT 2009,abbynoodle123,21 Days till chris comes home and 67 days till summer 
1467841077,Mon Apr 06 22:27:42 PDT 2009,Ariana6702,@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. 
1467841096,Mon Apr 06 22:27:43 PDT 2009,HayyItsRay,@its_anne Kay thanks. 
1467841114,Mon Apr 06 22:27:43 PDT 2009,kathrynsuzanne,Goodnight 
1467841135,Mon Apr 06 22:27:43 PDT 2009,jocelleuntalan,I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? 
1467841175,Mon Apr 06 22:27:44 PDT 2009,Killandra,"@beycah Good for you Becca, have a good sleep. "
1467841205,Mon Apr 06 22:27:45 PDT 2009,youngscraphics,@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me 
1467841313,Mon Apr 06 22:27:46 PDT 2009,nicodonnell,"@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. "
1467841428,Mon Apr 06 22:27:48 PDT 2009,suzi98babe,Watchin Greek then off to Knighty Knight!! 
1467841433,Mon Apr 06 22:27:48 PDT 2009,vetteypm,i am working on my media room design and i love love love my client profile 
1467841510,Mon Apr 06 22:27:50 PDT 2009,CiaraRenee,"@Lou911 Aww, thanks "
1467841571,Mon Apr 06 22:27:53 PDT 2009,leeleeredefined,thinking and planning 
1467841683,Mon Apr 06 22:27:53 PDT 2009,sof_grant,@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843
1467841708,Mon Apr 06 22:27:53 PDT 2009,Amuseconsulting,@UrbanThai  and you have me to thank for that 
1467841854,Mon Apr 06 22:27:56 PDT 2009,angelaleeds,"@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. "
1467841923,Mon Apr 06 22:27:57 PDT 2009,AishaNH,"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha"
1467841957,Mon Apr 06 22:27:57 PDT 2009,amyg0716,@suitelifeofkell that's freakin' cooool   i love twitter .haha
1467841985,Mon Apr 06 22:27:58 PDT 2009,BrissaB,why does Brissa not even know she has a twitter? -Lauren 
1467842071,Mon Apr 06 22:28:00 PDT 2009,kforman6,@jbrotherlove I thought it was a great love story 
1467842139,Mon Apr 06 22:28:01 PDT 2009,ldshockey,@amandahesser thanks!  i couldn't have done it without you  
1467842200,Mon Apr 06 22:28:02 PDT 2009,j_killa,"wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter "
1467842207,Mon Apr 06 22:28:02 PDT 2009,bradjmh,... 31 days until I leave for Ontario!! 
1467842583,Mon Apr 06 22:28:07 PDT 2009,Kacoote,@markhoppus lol youï¿½re so fucking funny 
1467842734,Mon Apr 06 22:28:10 PDT 2009,bobbibillard,"@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. "
1467842887,Mon Apr 06 22:28:12 PDT 2009,angelaleeds,"@special72 Thanks, Special 72!  "
1467843304,Mon Apr 06 22:28:19 PDT 2009,agilepulse,@mynameisgerard haha! i'm not saying u should try it.. but maybe u should 
1467843424,Mon Apr 06 22:28:21 PDT 2009,AshyMae87,"@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night"
1467843441,Mon Apr 06 22:28:21 PDT 2009,iGraves,@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time 
1467843504,Mon Apr 06 22:28:22 PDT 2009,ladyfox14,"@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting."
1467843553,Mon Apr 06 22:28:23 PDT 2009,Mike_Brenner,@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  
1467843554,Mon Apr 06 22:28:23 PDT 2009,SerendipityMuse,amazing night with llama and malcolm and megan&lt;---fuck the theatre! 
1467843590,Mon Apr 06 22:28:23 PDT 2009,BajaHyena,@kayotae Just had a martini myself. 
1467843613,Mon Apr 06 22:28:24 PDT 2009,molllyb143,city all day soo happy to be home. school in the morning 
